,,,Disponible en Orbinox?,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No
,,Tipo de material,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,No metales,No metales,No metales
,,Material,Plástico ABS,Acetal (Delrin),CPVC,Epoxy,Hytrel,LDPE,Noryl,Nylon,Policarbonato,Polipropileno,PPS (Ryton),PTFE (Teflón),PVC,PVDF (Kynar),Buna N (nitrilo),EPDM,Hypalón,Kel-F,Goma natural,Neopreno,Silicona,Tygón,Vitón,Acero inoxidable 304,Acero inoxidable 316,Aluminio,Latón,Bronce,Carpenter 20,Fundición hierro,Cobre,Hastelloy C,Titanio,"Carbón, grafito",Cerámica Al2O3,Cerámica magnética
,Aceites y grasas,Anilina (aceite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de ballena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de maní (cacahuete),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de cachalote (espermaceti),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de canela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de ricino (castor),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de cereal,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial cítrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de clavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de coco,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de colza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Creosota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Grasa de curtido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,"Diesel (20, 30, 40, 50) (lubricante)",,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
,Aceites y grasas,"Fuel oil (1, 2, 3, 5A, 5B, 6) (lubricante)",,,,1,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,
,Aceites y grasas,Aceite esencial de gengibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Glicina,,,2,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite hidráulico mineral,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite hidráulico sintético,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de hígado de bacalao,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de laurel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de limón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite de linaza,,,,,1,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de anís (matalauva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite esencial de menta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Aceite mineral,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
